Equal,Include,Included in,Disjoint,Overlap,Number of PWs
1,1,0,0,0,1
2,0,0,0,0,1
0,2,0,0,0,1
1,0,1,0,0,1
0,0,2,0,0,1
1,0,0,1,0,1
1,0,0,0,1,1
3,0,0,0,0,1
2,1,0,0,0,1
2,0,1,0,0,1
1,2,0,0,0,1
1,0,2,0,0,1
0,3,0,0,0,1
0,0,3,0,0,1
2,0,0,1,0,1
2,0,0,0,1,1
4,0,0,0,0,1
3,1,0,0,0,1
3,0,1,0,0,1
3,0,0,1,0,1
2,2,0,0,0,1
2,0,2,0,0,1
1,0,3,0,0,1
1,3,0,0,0,1
0,0,4,0,0,1
0,4,0,0,0,1
3,0,0,0,1,1
0,0,5,0,0,1
0,5,0,0,0,1
1,0,4,0,0,1
1,4,0,0,0,1
2,0,3,0,0,1
2,3,0,0,0,1
3,0,2,0,0,1
3,2,0,0,0,1
4,0,0,0,1,1
4,0,0,1,0,1
4,0,1,0,0,1
4,1,0,0,0,1
5,0,0,0,0,1
0,0,0,0,1,1
0,0,0,1,0,1
0,0,1,0,0,1
0,1,0,0,0,1
1,0,0,0,0,1
0,1,1,0,0,5
0,1,0,1,0,5
0,1,0,0,1,5
0,0,1,1,0,5
0,0,1,0,1,5
1,1,1,0,0,5
1,1,0,1,0,5
1,1,0,0,1,5
1,0,1,1,0,5
1,0,1,0,1,5
2,1,1,0,0,5
2,1,0,1,0,5
2,0,1,1,0,5
2,1,0,0,1,5
2,0,1,0,1,5
3,0,1,0,1,5
3,0,1,1,0,5
3,1,0,0,1,5
3,1,0,1,0,5
3,1,1,0,0,5
0,1,2,0,0,17
0,2,1,0,0,17
0,2,0,1,0,17
0,2,0,0,1,17
0,0,2,1,0,17
0,0,2,0,1,17
1,0,2,1,0,17
1,1,2,0,0,17
1,2,0,1,0,17
1,2,1,0,0,17
1,0,2,0,1,17
1,2,0,0,1,17
2,0,2,0,1,17
2,0,2,1,0,17
2,1,2,0,0,17
2,2,0,0,1,17
2,2,0,1,0,17
2,2,1,0,0,17
0,0,0,2,0,25
0,0,0,0,2,25
0,0,0,1,1,25
1,0,0,2,0,25
1,0,0,0,2,25
1,0,0,1,1,25
2,0,0,2,0,25
2,0,0,0,2,25
2,0,0,1,1,25
1,0,0,1,2,2041
3,0,0,0,2,25
3,0,0,1,1,25
3,0,0,2,0,25
0,0,3,1,0,53
0,1,3,0,0,53
0,3,0,1,0,53
0,3,1,0,0,53
0,0,3,0,1,53
0,3,0,0,1,53
1,0,3,0,1,53
1,0,3,1,0,53
1,1,3,0,0,53
1,3,0,0,1,53
1,3,0,1,0,53
1,3,1,0,0,53
0,1,1,1,0,61
0,1,1,0,1,61
1,1,1,1,0,61
1,1,1,0,1,61
2,1,1,0,1,61
2,1,1,1,0,61
0,2,2,0,0,161
0,0,4,0,1,161
0,0,4,1,0,161
0,1,4,0,0,161
0,4,0,0,1,161
0,4,0,1,0,161
0,4,1,0,0,161
1,2,2,0,0,161
0,1,0,2,0,217
0,1,0,0,2,217
0,0,1,2,0,217
0,0,1,0,2,217
0,1,0,1,1,217
0,0,1,1,1,217
1,0,1,2,0,217
1,1,0,2,0,217
1,0,1,0,2,217
1,1,0,0,2,217
1,1,0,1,1,217
1,0,1,1,1,217
2,0,1,0,2,217
2,0,1,1,1,217
2,0,1,2,0,217
2,1,0,0,2,217
2,1,0,1,1,217
2,1,0,2,0,217
